RT60,DRR,C50,Unnamed: 3,filename,estimated_rt60,estimated_c50,rt60_error,c50_error
0.562744081,-0.663957596,10.81930923,,rendered_fdn_000_sample_000.wav,20.100174479886892,-49.499983099886514,19.53743039888689,-60.319292329886515
0.873369366,-3.321323395,7.68215394,,rendered_fdn_001_sample_001.wav,9.666859102710722,-39.00973793684617,8.793489736710722,-46.69189187684617
0.783725917,0.891723633,7.842788219,,rendered_fdn_002_sample_002.wav,27.050783347164398,-42.11248273397886,26.267057430164396,-49.95527095297886
0.754931688,-7.550230026,4.143936872,,rendered_fdn_003_sample_003.wav,23.53673845423215,-39.144125373197774,22.78180676623215,-43.28806224519777
0.704523057,1.188526154,9.027688026,,rendered_fdn_004_sample_004.wav,7.121015847460746,-41.92826950331031,6.416492790460746,-50.95595752931031
0.83521986,0.028362274,9.727667332,,rendered_fdn_005_sample_005.wav,17.569380761749528,-37.671630737287515,16.73416090174953,-47.39929806928751
0.906609938,0.339040756,8.910154343,,rendered_fdn_006_sample_006.wav,5.505651926133431,-35.430342517471104,4.599041988133431,-44.340496860471106
0.93686083,0.857868195,10.26846504,,rendered_fdn_007_sample_007.wav,19.678147522544315,-36.00754928178831,18.741286692544314,-46.27601432178831
0.611929804,-0.153694153,10.9494729,,rendered_fdn_008_sample_008.wav,28.702468124689396,-40.825419235910864,28.090538320689397,-51.77489213591086
0.702371567,1.711330414,13.02961254,,rendered_fdn_009_sample_009.wav,9.246732454731335,-37.14232054522502,8.544360887731335,-50.17193308522502
0.697705686,-0.126895905,9.799554825,,rendered_fdn_010_sample_010.wav,8.034702013012492,-43.23221954930106,7.336996327012492,-53.03177437430106
0.786202803,2.703342438,10.78656769,,rendered_fdn_011_sample_011.wav,16.07512039011014,-36.80747525002974,15.28891758711014,-47.59404294002974
0.754990116,-0.653896332,9.292841911,,rendered_fdn_012_sample_012.wav,18.81715862460577,-53.34183973482589,18.062168508605772,-62.63468164582589
0.551424176,3.055419922,12.57593012,,rendered_fdn_013_sample_013.wav,29.440763907652553,-54.48241432098277,28.88933973165255,-67.05834444098276
0.409310549,-8.38968277,6.119835854,,rendered_fdn_014_sample_014.wav,18.63308005769293,-48.27326226605645,18.22376950869293,-54.39309812005645
